name,relationship,source,context,last_interaction_date,last_interaction_summary,tags,notes
Jakub Wiśniewski,"co-founder, best friend since university","Poznań University of Technology, CS program 2012","CTO of our startup. We've been building together since the dorm room days. Mass of contradictions — mass of patience, zero patience for bad UI. Runs ultramarathons, uses running metaphors for everything. Wife Ola is a pediatrician.",2026-04-14,Slack thread at 1am debating whether to hire a senior backend dev or two juniors.,"co-founder, technical, inner-circle, daily","Jakub's birthday is June 12. Ola is pregnant — due late July. They don't want people to know yet, he told me in confidence."
Ola Wiśniewska,"Jakub's wife, close friend","through Jakub, 2014","Pediatrician at a clinic in Mokotów. Calm, warm, somehow tolerates both of us. We do a yearly couples dinner with her and Jakub, me and Tomek.",2026-04-08,She texted me a photo of a ridiculously tiny pair of sneakers she bought.,"friend, personal, inner-circle",
Tomek Lis,"partner, lives together","met at a friend's birthday party, 2021","Works as a documentary filmmaker, currently editing a piece on Polish diaspora communities in Iceland. Very different world from startups — keeps me grounded. Hates networking events but comes to the important ones.",2026-04-15,Morning coffee — he asked me if I'm sleeping enough. I'm not.,"partner, personal, inner-circle, daily","Tomek's mom's name is Grażyna, lives in Lublin. He's sensitive about people treating his work as a hobby. Remember to actually watch the rough cut he sent me last week — I keep saying I will."
Agnieszka Kowalczyk,"sister, 3 years older",family,"Agnieszka teaches math at a liceum in Wrocław. Divorced last year, has two kids: Zuzia (9) and Michał (6). She worries about me constantly. We talk on the phone most Sundays.",2026-04-13,Sunday call — she's thinking about moving to Warsaw for a fresh start. Wants to talk more about it next week.,"family, inner-circle, personal",Zuzia's birthday is May 3. I promised Agnieszka I'd help her look at apartments in Ursynów if she decides to move. Haven't started looking yet.
Paweł Zieliński,"mentor, former boss at Allegro","worked under him at Allegro, 2016-2018","Now angel investor, did 12 deals last year. Very well connected in Polish tech. Blunt feedback style — if he says it's good, it's good. Divorced, two teenage sons. Collects vinyl records.",2026-04-22,Quick Slack back-and-forth about a vinyl reissue he just tracked down — he sent three voice notes.,"mentor, investor, inner-circle, fundraising","Paweł said he'd intro me to Beata Nowak at Market One Capital — I need to follow up and ask if he's sent the email yet. He also mentioned he's thinking about doing a podcast, asked if I knew anyone in audio production."
Magda Kamińska,best friend from university,"Poznań University of Technology, 2012","Left tech entirely, now runs a small ceramics studio in Kazimierz Dolny. We've stayed close despite completely different paths. She's the person I call when everything feels like too much.",2026-04-21,"Quick evening call — she sent me a photo of a new glaze she's testing, made me laugh.","friend, personal, inner-circle",Magda's studio anniversary is in June — she's doing an exhibition. I said I'd come. Need to block the weekend.
Anna Kwiatkowska,"lead investor, Movens Capital","introduced by Paweł Zieliński, 2025","Partner at Movens Capital, focuses on B2B SaaS. Ex-McKinsey, then product at DocPlanner. Very data-driven, asks hard questions about unit economics. Has a dry sense of humor once you get past the formality.",2026-04-12,"Video call — she wants updated MRR numbers and a customer cohort analysis before their Monday IC meeting. Said she's ""cautiously optimistic.""","investor, fundraising, active, lead",URGENT: I need to send her the cohort analysis by end of day Thursday. She also asked about our churn rate by segment — I said I'd break it out. Don't drop this.
Michał Dąbrowski,angel investor,met at Infoshare 2024,"Former CTO at Booksy, now full-time angel. Writes checks quickly, doesn't need a lot of hand-holding. Interested in developer tools. Has a golden retriever named Bigos.",2026-04-09,He committed 50k to the round via email. Quick and clean.,"investor, angel, active, fundraising",Check went through. Need to send him the SAFE docs — told him I'd send by Friday last week and I still haven't.
Beata Nowak,"potential investor, Market One Capital",warm intro pending from Paweł Zieliński,"Managing Partner at Market One Capital. Supposedly very founder-friendly, loves repeat founders. Was early in Packhelp and Zowie. I haven't actually met her yet.",2026-03-01,Paweł forwarded my LinkedIn profile to her with a note — she viewed it but hasn't responded yet.,"investor, fundraising, target, warm-intro",Paweł was supposed to intro me. I should check if he did — it's been two weeks.
Katarzyna Sikora,"investor contact, Inovo Venture Partners","met at her office hours at Reaktor, 2025","Principal at Inovo. Young, sharp, from Kraków. Studied at LSE. Particularly interested in AI infrastructure. Tends to ask very specific technical questions.",2026-03-28,"In-person meeting at their office. Good conversation but she pushed back on our positioning — thinks we're ""too horizontal."" Said she'd discuss with the partnership.","investor, fundraising, active, vc",She mentioned they're also looking at a competitor — wouldn't say who. I should send her the case study from the FinBridge pilot to show vertical depth.
